ruleName,original,emergency_0,management_1,management_0,storage_0,storage_2,storage_1,transfer_4,transfer_0,transfer_3,transfer_1,transfer_5,transfer_2,contract_4,contract_2,contract_6,contract_5,contract_0,contract_8,contract_7,contract_3,contract_1,lib_2,lib_1,lib_0
require_pause_or_emergency_pause_admin_or_owner_passes_for_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
require_pause_or_emergency_pause_admin_or_owner_passes_for_pause_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
require_pause_or_emergency_pause_admin_or_owner_reverts,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
set_role_addresses_passes_for_emergency_pause_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
