ruleName,original,emergency_0,management_1,management_0,storage_0,storage_2,storage_1,transfer_4,transfer_0,transfer_3,transfer_5,transfer_2,contract_4,contract_2,contract_6,contract_5,contract_0,contract_8,contract_7,contract_3,contract_1,lib_2,lib_1,lib_0
get_key_returns_right_key,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
get_transfer_ownership_deadline_returns_right_deadline,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
get_transfer_ownership_deadline_reverts_for_all_but_admin_and_emergency_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_role_to_key_for_init_admin,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_role_to_key_for_set_role_addresses,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_symbol_to_role_for_apply_transfer_ownership,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_symbol_to_role_for_commit_transfer_ownership,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_symbol_to_role_for_get_future_address,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
invariant_symbol_to_role_for_revert_transfer_ownership,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
